"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","CPT-9019A","","","","sldrnrd:CPT-9019A","${SLDRNRD_LIB}/datasheets/Audio/CPT-9019A.pdf"
"C1,C6,C16","3","1uF","","","","sldrnrd:C_0603",""
"C2,C3,C8,C11,C12,C13,C17,C18,C23,C26,C27,C28,C30,C32,C34,C35,C36,C37,C38,C39,C40","21","100n","","","","sldrnrd:C_0603",""
"C4,C9,C10,C14","4","10u","","","","sldrnrd:C_0805",""
"C5,C7","2","10u","","","","sldrnrd:C_0603",""
"C15,C29","2","3u3","","","","sldrnrd:C_0805",""
"C19,C20","2","12.5p","","","","sldrnrd:C_0603",""
"C21,C22","2","20p","","","","sldrnrd:C_0603",""
"C24,C25,C31,C33","4","10n","","","","sldrnrd:C_0603",""
"D1","1","LED_Red_0603","","","","sldrnrd:LED_0603",""
"D2,D3,D4","3","LED_Green_0603","","","","sldrnrd:LED_0603",""
"DS1","1","LS027B7DH01","","","","sldrnrd:Header_FFC_1.5mm_10","${SLDRNRD_LIB}/datasheets/Display/LS027B7DH01.pdf"
"J1","1","JST_PH_2.0mm_1x02","","","","sldrnrd:JST_PH_2.0mm_1x02","${SLDRNRD_LIB}/datasheets/Connector/JST/ePH.pdf"
"J2","1","USB-C","","","","sldrnrd:USB_C","${SLDRNRD_LIB}/datasheets/Connector/USB/TYPE-C-31-M-12.pdf"
"J3","1","Header_FFC_1.0mm_06","","","","sldrnrd:Header_FFC_1.0mm_06","${SLDRNRD_LIB}/datasheets/Connector/FFC/AFA07.pdf"
"J4","1","Header_50mil_2x07","","","","sldrnrd:Header_50mil_2x07",""
"J5,J6","2","Header_FFC_1.0mm_10","","","","sldrnrd:Header_FFC_1.0mm_10","${SLDRNRD_LIB}/datasheets/Connector/FFC/AFA07.pdf"
"Q1,Q3","2","DMG2305UX","","","","sldrnrd:SOT-23-BR",""
"Q2","1","FS8205A","","","","sldrnrd:TSSOP-8",""
"Q4,Q5","2","AO3400A","","","","sldrnrd:SOT-23","${SLDRNRD_LIB}/datasheets/Transistor/MosfetN/AO3400A.pdf"
"R1,R8,R28,R31","4","100k","","","","sldrnrd:R_0603",""
"R2,R4","2","2k","","","","sldrnrd:R_0603",""
"R3,R6,R7,R10,R11,R26","6","1k","","","","sldrnrd:R_0603",""
"R5,R14,R15,R16,R22,R23,R24,R34","8","33k","","","","sldrnrd:R_0603",""
"R9,R12,R13,R17,R20,R21,R25,R30","8","68k","","","","sldrnrd:R_0603",""
"R18,R19,R27,R29,R32,R33,R35,R36","8","5k1","","","","sldrnrd:R_0603",""
"SW1,SW2","2","PEC11R-4215F-S0024","","","","sldrnrd:RotaryEncoder_PEC11R","${SLDRNRD_LIB}/datasheets/InputDevice/RotaryEncoder/PEC11R.pdf"
"U1","1","DW01A","","","","sldrnrd:SOT-23-6","${SLDRNRD_LIB}/datasheets/Power/BatteryManagement/DW01A.pdf"
"U2,U4","2","LP5907MFX-3.3/NOPB","","","","sldrnrd:SOT-23-5","${SLDRNRD_LIB}/datasheets/Power/LinearRegulator/LP5907.pdf"
"U3","1","TP4056","","","","sldrnrd:ESOP-8","${SLDRNRD_LIB}/datasheets/Power/BatteryManagement/TP4056.pdf"
"U5","1","SD6210A","","","","sldrnrd:SOT-23-6","${SLDRNRD_LIB}/datasheets/Power/ChargePump/SD6210A.pdf"
"U6","1","STM32G0B1RET6","","","","sldrnrd:LQFP-64","${SLDRNRD_LIB}/datasheets/Microcontroller/STM/STM32G0B1.pdf"
"U7","1","RN4871-I_RM128","","","","sldrnrd:RN4871","${SLDRNRD_LIB}/datasheets/Wireless/Bluetooth/RN4871.pdf"
"U8","1","SN74AHCT244DBR","","","","sldrnrd:SSOP-20","${SLDRNRD_LIB}/datasheets/Logic/74/SN74AHCT244.pdf"
"U9","1","24LC256-I_ST","","","","sldrnrd:TSSOP-8",""
"U10","1","SN74HC14PWR","","","","sldrnrd:TSSOP-14",""
"U11","1","LM35DGS","","","","sldrnrd:SOT-23",""
"Y1","1","32.768kHz","","","","sldrnrd:CRYSTAL-3215","${SLDRNRD_LIB}/datasheets/Crystal/Q13FC1350000400.pdf"
"Y2","1","8MHz","","","","sldrnrd:CRYSTAL-3225","${SLDRNRD_LIB}/datasheets/Crystal/X50328MSB2GI.pdf"
