Net,Component,Pin,PinName,Notes
GND,J1,2,-,Battery JST negative
GND,Q1,6,S2,FS8205A source MOSFET2
GND,Q1,7,S2,FS8205A source MOSFET2
GND,R_RPP,2,,Reverse polarity gate pull-down
GND,R_CS,2,,DW01A current sense
GND,J2,A1,GND,USB-C
GND,J2,A12,GND,USB-C
GND,J2,B1,GND,USB-C
GND,J2,B12,GND,USB-C
GND,J2,Shell,Shield,USB-C
GND,U3,1,TEMP,TP4056 NTC disabled
GND,U3,3,GND,TP4056
GND,R_PROG,2,,TP4056 charge current set
GND,U5,2,GND,LP5907 LDO
GND,U6,2,GND,SD6210A charge pump
GND,U1,9,VSS,PIC32
GND,U1,25,VSS,PIC32
GND,U1,41,VSS,PIC32
GND,U1,20,AVSS,PIC32
GND,U7,1,1OE,74AHCT244 always enabled
GND,U7,10,GND,74AHCT244
GND,U7,13,2A2,Spare input tied low
GND,U7,15,2A3,Spare input tied low
GND,U7,17,2A4,Spare input tied low
GND,U7,19,2OE,74AHCT244 always enabled
GND,U2,1,GND,RN4871
GND,U2,2,GND,RN4871
GND,U2,3,GND,RN4871
GND,U2,30,GND,RN4871
GND,U2,31,GND,RN4871
GND,U2,33,GND,RN4871
GND,U9,4,GND,W25Q80DV
GND,U10,1,A0,24LC256 address
GND,U10,2,A1,24LC256 address
GND,U10,3,A2,24LC256 address
GND,U10,4,VSS,24LC256
GND,U10,7,WP,24LC256 write enable
GND,U11,3,GND,LM35
GND,U8,7,GND,74HC14
GND,ENC1,C,Common,Encoder 1 common
GND,ENC1,SW2,Common,Encoder 1 switch common
GND,ENC2,C,Common,Encoder 2 common
GND,ENC2,SW2,Common,Encoder 2 switch common
GND,J8,1,GND,Expansion header GND
GND,BZ1,-,GND,Piezo transducer ground pad
GND,LED1,K,Cathode,Power LED
GND,LED2,K,Cathode,Status LED
GND,J4,8,VSS,Display
GND,J4,10,VSSA,Display
GND,J5,1,GND,SCL3300 FFC
GND,J6,3,GND,PCAP04 #1 FFC
GND,J7,3,GND,PCAP04 #2 FFC
GND,R_CC1,2,,USB CC1 pull-down
GND,R_CC2,2,,USB CC2 pull-down
GND,R_USBID,2,,USB device mode
GND,C_X1,2,,Crystal load cap OSC1
GND,C_X2,2,,Crystal load cap OSC2
GND,C_MCLR,2,,MCLR filter cap
GND,C_DEC1,2,,PIC32 VDD decoupling pin 10
GND,C_DEC2,2,,PIC32 VDD decoupling pin 26
GND,C_DEC3,2,,PIC32 VDD decoupling pin 38
GND,C_DEC4,2,,PIC32 VDD decoupling pin 57
GND,C_AVDD,2,,PIC32 AVDD decoupling
GND,C_VCAP,2,,PIC32 VCAP capacitor
GND,C_VUSB3V3_1,2,,USB3V3 decoupling
GND,C_VUSB3V3_2,2,,USB3V3 decoupling
GND,C_BAT,2,,Battery rail decoupling
GND,C_VUSB,2,,USB input decoupling
GND,C_LDO_IN,2,,LDO input cap
GND,C_LDO_OUT,2,,LDO output cap
GND,C_5V_IN,2,,Charge pump input cap
GND,C_5V_OUT,2,,Charge pump output cap
GND,C_244,2,,74AHCT244 decoupling
GND,C_HC14,2,,74HC14 decoupling
GND,C_BLE,2,,RN4871 decoupling
GND,C_BLE_BK,2,,RN4871 buck cap
GND,C_FLASH,2,,W25Q80DV decoupling
GND,C_EEPROM,2,,24LC256 decoupling
GND,C_J5,2,,SCL3300 connector decoupling
GND,C_DISP_VDD,2,,Display VDD decoupling
GND,C_DISP_VDDA,2,,Display VDDA decoupling
GND,C_VBAT_F,2,,VBAT sense filter cap
GND,C_TEMP,2,,LM35 output filter cap
GND,C_E1A,2,,Encoder 1A debounce
GND,C_E1B,2,,Encoder 1B debounce
GND,C_E1S,2,,Encoder 1SW debounce
GND,C_E2A,2,,Encoder 2A debounce
GND,C_E2B,2,,Encoder 2B debounce
GND,C_E2S,2,,Encoder 2SW debounce
VBAT_RAW,J1,1,+,Battery JST positive
VBAT_RAW,Q3,2,Source,DMG2305UX reverse polarity
VBAT,Q3,3,Drain,DMG2305UX output
VBAT,R_DW,1,,DW01A VCC resistor high side
VBAT,U3,5,BAT,TP4056 battery terminal
VBAT,U5,5,IN,LP5907 LDO input
VBAT,U6,5,VIN,SD6210A charge pump input
VBAT,R_VBAT1,1,,Voltage divider high side
VBAT,C_BAT,1,,Battery rail decoupling
VBAT,C_LDO_IN,1,,LDO input cap
VBAT,C_5V_IN,1,,Charge pump input cap
CELL_NEG,U4,6,GND,DW01A ground
CELL_NEG,Q1,2,S1,FS8205A source MOSFET1
CELL_NEG,Q1,3,S1,FS8205A source MOSFET1
CELL_NEG,C_DW,2,,DW01A decoupling
VUSB,J2,A4,VBUS,USB-C power
VUSB,J2,A9,VBUS,USB-C power
VUSB,J2,B4,VBUS,USB-C power
VUSB,J2,B9,VBUS,USB-C power
VUSB,U3,4,VCC,TP4056 input
VUSB,U3,8,CE,TP4056 chip enable
VUSB,U1,34,VBUS,PIC32 USB VBUS detect
VUSB,C_VUSB,1,,USB input decoupling
+3V3,U5,1,OUT,LP5907 output
+3V3,U1,10,VDD,PIC32
+3V3,U1,26,VDD,PIC32
+3V3,U1,38,VDD,PIC32
+3V3,U1,57,VDD,PIC32
+3V3,U1,19,AVDD,PIC32
+3V3,U6,3,EN,SD6210A enable
+3V3,U2,4,VBAT,RN4871 supply
+3V3,U2,6,VDD_IO,RN4871 I/O level
+3V3,U2,7,VDD_IO,RN4871 I/O level
+3V3,U2,17,P2_0,RN4871 app mode
+3V3,U8,14,VCC,74HC14 supply
+3V3,U9,3,/WP,W25Q80DV write protect off
+3V3,U9,7,/HOLD,W25Q80DV hold off
+3V3,U9,8,VCC,W25Q80DV supply
+3V3,U10,8,VCC,24LC256 supply
+3V3,U11,1,VS+,LM35 supply
+3V3,J3,2,VDD,ICSP header target power
+3V3,J5,2,+3.3V,SCL3300 FFC
+3V3,J6,5,+3.3V,PCAP04 #1 FFC
+3V3,J7,5,+3.3V,PCAP04 #2 FFC
+3V3,J8,2,+3.3V,Expansion header 3.3V
+3V3,R_MCLR,1,,MCLR pull-up
+3V3,R_SDA,1,,I2C1 SDA pull-up
+3V3,R_SCL,1,,I2C1 SCL pull-up
+3V3,R_SDA2,1,,I2C2 SDA pull-up
+3V3,R_SCL2,1,,I2C2 SCL pull-up
+3V3,C_LDO_OUT,1,,LDO output cap
+3V3,C_DEC1,1,,PIC32 VDD decoupling pin 10
+3V3,C_DEC2,1,,PIC32 VDD decoupling pin 26
+3V3,C_DEC3,1,,PIC32 VDD decoupling pin 38
+3V3,C_DEC4,1,,PIC32 VDD decoupling pin 57
+3V3,C_AVDD,1,,PIC32 AVDD decoupling
+3V3,C_HC14,1,,74HC14 decoupling
+3V3,C_BLE,1,,RN4871 decoupling
+3V3,C_FLASH,1,,W25Q80DV decoupling
+3V3,C_EEPROM,1,,24LC256 decoupling
+3V3,C_J5,1,,SCL3300 connector decoupling
+5V,U6,1,VOUT,SD6210A output
+5V,U7,20,VCC,74AHCT244 supply
+5V,J4,6,EXTMODE,Display tied to VDD
+5V,J4,7,VDD,Display digital supply
+5V,J4,9,VDDA,Display analog supply
+5V,J8,3,+5V,Expansion header 5V
+5V,C_5V_OUT,1,,Charge pump output cap
+5V,C_244,1,,74AHCT244 decoupling
+5V,C_DISP_VDD,1,,Display VDD decoupling
+5V,C_DISP_VDDA,1,,Display VDDA decoupling
DW01_VCC,R_DW,2,,DW01A VCC resistor
