"Comment","Designator","Footprint","LCSC Part #"
"CPT-9019A-SMT-TR","BZ1","sldrnrd:CPT-9019A","C20181991"
"1u","C1,C6,C16","sldrnrd:C_0805","C28323"
"100n","C2,C3,C8,C11,C12,C13,C17,C18,C23,C26,C27,C28,C30,C32,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43","sldrnrd:C_0603","C14663"
"10u","C4,C5,C7,C9,C10,C14","sldrnrd:C_1206","C70462"
"2u2","C15,C29","sldrnrd:C_0805","C126589"
"15p","C19,C20","sldrnrd:C_0603","C1644"
"33p","C21,C22","sldrnrd:C_0603","C1663"
"C_0603","C24,C25,C31,C33","sldrnrd:C_0603",""
"LED_Red_0603","D1","sldrnrd:LED_0603","C2286"
"LED_Green_0603","D2,D3","sldrnrd:LED_0603","C72043"
"LED_Yellow_0603","D4","sldrnrd:LED_0603","C2287"
"LS027B7DH01","DS1","sldrnrd:Display_LS027B7DH01","C17492463"
"JST_PH_2.0mm_1x02","J1","sldrnrd:JST_PH_2.0mm_1x02","C131337"
"USB_C","J2","sldrnrd:USB_C","C165948"
"Header_FFC_1.0mm_06","J3","sldrnrd:Header_FFC_1.0mm_06","C72727"
"Header_50mil_2x07","J4","sldrnrd:Header_50mil_2x07",""
"Header_FFC_1.0mm_10","J5,J6","sldrnrd:Header_FFC_1.0mm_10","C52162"
"JST_PH_2.0mm_1x03","J7","sldrnrd:JST_PH_2.0mm_1x03","C131339"
"DMG2305UX-13","Q1,Q3","sldrnrd:SOT-23-3","C144153"
"FS8205A","Q2","sldrnrd:TSSOP-8","C14212"
"AO3400A","Q4,Q5","sldrnrd:SOT-23-3","C20917"
"100k","R1,R8,R28,R31","sldrnrd:R_0603","C25803"
"R_0603","R2,R4,R5,R9,R12,R13,R14,R15,R16,R17,R20,R21,R22,R23,R24,R25,R30,R34,R37","sldrnrd:R_0603",""
"1k","R3,R6,R7,R10,R11,R26","sldrnrd:R_0603","C21190"
"5k1","R18,R19,R27,R29,R32,R33,R35,R36","sldrnrd:R_0603","C23186"
"PEC11R-4215F-S0024","SW1,SW2","sldrnrd:RotaryEncoder_PEC11R","C143790"
"DW01A","U1","sldrnrd:SOT-23-6","C85680"
"LP5907MFX-3.3/NOPB","U2,U4","sldrnrd:SOT-23-5","C80670"
"TP4056","U3","sldrnrd:ESOP-8","C382139"
"SD6210A","U5","sldrnrd:SOT-23-6","C250809"
"STM32G0B1RET6","U6","sldrnrd:LQFP-64","C2829307"
"RN4871-I/RM128","U7","sldrnrd:RN4871","C633941"
"SN74AHCT244DBR","U8","sldrnrd:SSOP-20","C2868870"
"24LC256-I/ST","U9","sldrnrd:TSSOP-8","C87823"
"BME280","U10","sldrnrd:LGA-8_2.5x2.5mm_P0.65mm","C92489"
"SN74HC14PWR","U11","sldrnrd:TSSOP-14","C6821"
"LM35","U12","sldrnrd:SOT-23-3","C9900081740"
"Q13FC1350000400","Y1","sldrnrd:CRYSTAL-3215","C32346"
"X50328MSB2GI","Y2","sldrnrd:CRYSTAL-3225","C115962"
