"Value","Reference","Footprint","LCSC"
"CPT-9019A","BZ1","sldrnrd:CPT-9019A","C20181991"
"1u","C1,C6,C16","sldrnrd:C_0805","C28323"
"100n","C2,C3,C8,C11-C13,C17,C18,C23,C26-C28,C30,C32,C34-C37,C40,C41,C43","sldrnrd:C_0603","C14663"
"10u","C4,C5,C7,C9,C10,C14","sldrnrd:C_1206","C70462"
"2u2","C15,C29","sldrnrd:C_0805","C126589"
"15p","C19,C20","sldrnrd:C_0603","C1644"
"18p","C21,C22","sldrnrd:C_0603","C1647"
"10n","C24,C25,C31,C33","sldrnrd:C_0603","C57112"
"LED_Red_0603","D1","sldrnrd:LED_0603","C2286"
"LED_Green_0603","D2-D4","sldrnrd:LED_0603","C2287,C72043"
"LS027B7DH01","DS1","sldrnrd:Display_LS027B7DH01","C17492463"
"JST_PH_2.0mm_1x02","J1","sldrnrd:JST_PH_2.0mm_1x02","C131337"
"USB-C","J2","sldrnrd:USB_C","C165948"
"JST_PH_2.0mm_1x03","J7","sldrnrd:JST_PH_2.0mm_1x03","C131339"
"DMG2305UX","Q1,Q3","sldrnrd:SOT-23-3","C144153"
"FS8205A","Q2","sldrnrd:TSSOP-8","C14212"
"AO3400A","Q4,Q5","sldrnrd:SOT-23-3","C20917"
"100k","R1,R8,R28,R31","sldrnrd:R_0603","C25803"
"2k","R2,R4","sldrnrd:R_0603","C22975"
"1k","R3,R6,R7,R10,R11,R26","sldrnrd:R_0603","C21190"
"33k","R5,R14-R16,R22-R24","sldrnrd:R_0603","C4216"
"68k","R9,R12,R13,R17,R20,R21,R25","sldrnrd:R_0603","C23231"
"5k1","R18,R19,R32,R33,R36","sldrnrd:R_0603","C23186"
"PEC11R-4215F-S0024","SW1,SW2","sldrnrd:RotaryEncoder_PEC11R","C143790"
"DW01A","U1","sldrnrd:SOT-23-6","C85680"
"LP5907MFX-3.3/NOPB","U2,U4","sldrnrd:SOT-23-5","C80670"
"TP4056","U3","sldrnrd:ESOP-8","C382139"
"SD6210A","U5","sldrnrd:SOT-23-6","C250809"
"STM32G0B1RET6","U6","sldrnrd:LQFP-64","C2829307"
"RN4871-I_RM128","U7","sldrnrd:RN4871","C633941"
"SN74AHCT244DBR","U8","sldrnrd:SSOP-20","C2868870"
"24LC256-I_ST","U9","sldrnrd:TSSOP-8","C87823"
"BME280","U10","sldrnrd:LGA-8_2.5x2.5mm_P0.65mm","C92489"
"SN74HC14PWR","U11","sldrnrd:TSSOP-14","C6821"
"LM35DGS","U12","sldrnrd:SOT-23-3","C9900081740"
"32.768kHz","Y1","sldrnrd:CRYSTAL-3215","C32346"
"8MHz","Y2","sldrnrd:CRYSTAL-3225","C115962"
