"Reference","Value","Footprint","LCSC"
"BZ1","CPT-9019A","sldrnrd:CPT-9019A","C20181991"
"C1","1u","sldrnrd:C_0805","C28323"
"C2","100n","sldrnrd:C_0603","C14663"
"C3","100n","sldrnrd:C_0603","C14663"
"C4","10u","sldrnrd:C_1206","C70462"
"C5","10u","sldrnrd:C_1206","C70462"
"C6","1u","sldrnrd:C_0805","C28323"
"C7","10u","sldrnrd:C_1206","C70462"
"C8","100n","sldrnrd:C_0603","C14663"
"C9","10u","sldrnrd:C_1206","C70462"
"C10","10u","sldrnrd:C_1206","C70462"
"C11","100n","sldrnrd:C_0603","C14663"
"C12","100n","sldrnrd:C_0603","C14663"
"C13","100n","sldrnrd:C_0603","C14663"
"C14","10u","sldrnrd:C_1206","C70462"
"C15","2u2","sldrnrd:C_0805","C126589"
"C16","1u","sldrnrd:C_0805","C28323"
"C17","100n","sldrnrd:C_0603","C14663"
"C18","100n","sldrnrd:C_0603","C14663"
"C19","15p","sldrnrd:C_0603","C1644"
"C20","15p","sldrnrd:C_0603","C1644"
"C21","18p","sldrnrd:C_0603","C1647"
"C22","18p","sldrnrd:C_0603","C1647"
"C23","100n","sldrnrd:C_0603","C14663"
"C24","10n","sldrnrd:C_0603","C57112"
"C25","10n","sldrnrd:C_0603","C57112"
"C26","100n","sldrnrd:C_0603","C14663"
"C27","100n","sldrnrd:C_0603","C14663"
"C28","100n","sldrnrd:C_0603","C14663"
"C29","2u2","sldrnrd:C_0805","C126589"
"C30","100n","sldrnrd:C_0603","C14663"
"C31","10n","sldrnrd:C_0603","C57112"
"C32","100n","sldrnrd:C_0603","C14663"
"C33","10n","sldrnrd:C_0603","C57112"
"C34","100n","sldrnrd:C_0603","C14663"
"C35","100n","sldrnrd:C_0603","C14663"
"C36","100n","sldrnrd:C_0603","C14663"
"C37","100n","sldrnrd:C_0603","C14663"
"C40","100n","sldrnrd:C_0603","C14663"
"C41","100n","sldrnrd:C_0603","C14663"
"C43","100n","sldrnrd:C_0603","C14663"
"D1","LED_Red_0603","sldrnrd:LED_0603","C2286"
"D2","LED_Green_0603","sldrnrd:LED_0603","C72043"
"D3","LED_Green_0603","sldrnrd:LED_0603","C72043"
"D4","LED_Green_0603","sldrnrd:LED_0603","C2287"
"DS1","LS027B7DH01","sldrnrd:Display_LS027B7DH01","C17492463"
"J1","JST_PH_2.0mm_1x02","sldrnrd:JST_PH_2.0mm_1x02","C131337"
"J2","USB-C","sldrnrd:USB_C","C165948"
"J7","JST_PH_2.0mm_1x03","sldrnrd:JST_PH_2.0mm_1x03","C131339"
"Q1","DMG2305UX","sldrnrd:SOT-23-3","C144153"
"Q2","FS8205A","sldrnrd:TSSOP-8","C14212"
"Q3","DMG2305UX","sldrnrd:SOT-23-3","C144153"
"Q4","AO3400A","sldrnrd:SOT-23-3","C20917"
"Q5","AO3400A","sldrnrd:SOT-23-3","C20917"
"R1","100k","sldrnrd:R_0603","C25803"
"R2","2k","sldrnrd:R_0603","C22975"
"R3","1k","sldrnrd:R_0603","C21190"
"R4","2k","sldrnrd:R_0603","C22975"
"R5","33k","sldrnrd:R_0603","C4216"
"R6","1k","sldrnrd:R_0603","C21190"
"R7","1k","sldrnrd:R_0603","C21190"
"R8","100k","sldrnrd:R_0603","C25803"
"R9","68k","sldrnrd:R_0603","C23231"
"R10","1k","sldrnrd:R_0603","C21190"
"R11","1k","sldrnrd:R_0603","C21190"
"R12","68k","sldrnrd:R_0603","C23231"
"R13","68k","sldrnrd:R_0603","C23231"
"R14","33k","sldrnrd:R_0603","C4216"
"R15","33k","sldrnrd:R_0603","C4216"
"R16","33k","sldrnrd:R_0603","C4216"
"R17","68k","sldrnrd:R_0603","C23231"
"R18","5k1","sldrnrd:R_0603","C23186"
"R19","5k1","sldrnrd:R_0603","C23186"
"R20","68k","sldrnrd:R_0603","C23231"
"R21","68k","sldrnrd:R_0603","C23231"
"R22","33k","sldrnrd:R_0603","C4216"
"R23","33k","sldrnrd:R_0603","C4216"
"R24","33k","sldrnrd:R_0603","C4216"
"R25","68k","sldrnrd:R_0603","C23231"
"R26","1k","sldrnrd:R_0603","C21190"
"R28","100k","sldrnrd:R_0603","C25803"
"R31","100k","sldrnrd:R_0603","C25803"
"R32","5k1","sldrnrd:R_0603","C23186"
"R33","5k1","sldrnrd:R_0603","C23186"
"R36","5k1","sldrnrd:R_0603","C23186"
"SW1","PEC11R-4215F-S0024","sldrnrd:RotaryEncoder_PEC11R","C143790"
"SW2","PEC11R-4215F-S0024","sldrnrd:RotaryEncoder_PEC11R","C143790"
"U1","DW01A","sldrnrd:SOT-23-6","C85680"
"U2","LP5907MFX-3.3/NOPB","sldrnrd:SOT-23-5","C80670"
"U3","TP4056","sldrnrd:ESOP-8","C382139"
"U4","LP5907MFX-3.3/NOPB","sldrnrd:SOT-23-5","C80670"
"U5","SD6210A","sldrnrd:SOT-23-6","C250809"
"U6","STM32G0B1RET6","sldrnrd:LQFP-64","C2829307"
"U7","RN4871-I_RM128","sldrnrd:RN4871","C633941"
"U8","SN74AHCT244DBR","sldrnrd:SSOP-20","C2868870"
"U9","24LC256-I_ST","sldrnrd:TSSOP-8","C87823"
"U10","BME280","sldrnrd:LGA-8_2.5x2.5mm_P0.65mm","C92489"
"U11","SN74HC14PWR","sldrnrd:TSSOP-14","C6821"
"U12","LM35DGS","sldrnrd:SOT-23-3","C9900081740"
"Y1","32.768kHz","sldrnrd:CRYSTAL-3215","C32346"
"Y2","8MHz","sldrnrd:CRYSTAL-3225","C115962"
