Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","CPT-9019A","CPT-9019A",84.200000,-92.250000,-90.000000,top
"C1","1u","C_0805",117.187500,-73.600000,0.000000,top
"C2","100n","C_0603",117.500000,-64.750000,0.000000,top
"C3","100n","C_0603",132.250000,-67.750000,0.000000,top
"C4","10u","C_1206",117.000000,-66.750000,0.000000,top
"C5","10u","C_1206",74.800000,-96.200000,90.000000,top
"C6","1u","C_0805",131.500000,-55.750000,0.000000,top
"C7","10u","C_1206",74.800000,-90.000000,-90.000000,top
"C8","100n","C_0603",132.000000,-47.500000,0.000000,top
"C9","10u","C_1206",132.000000,-49.500000,0.000000,top
"C10","10u","C_1206",106.600000,-94.700000,0.000000,top
"C11","100n","C_0603",106.600000,-92.700000,0.000000,top
"C12","100n","C_0603",104.550000,-90.450000,-90.000000,top
"C13","100n","C_0603",86.250000,-70.000000,180.000000,top
"C14","10u","C_1206",102.600000,-90.450000,-90.000000,top
"C15","2u2","C_0805",106.800000,-85.950000,0.000000,top
"C16","1u","C_0805",106.600000,-62.875000,90.000000,top
"C17","100n","C_0603",104.761396,-62.875000,90.000000,top
"C18","100n","C_0603",103.261396,-62.875000,90.000000,top
"C19","15p","C_0603",107.900000,-69.800000,90.000000,top
"C20","15p","C_0603",107.900000,-66.550000,-90.000000,top
"C21","18p","C_0603",112.550000,-61.225000,90.000000,top
"C22","18p","C_0603",112.550000,-57.950000,-90.000000,top
"C23","100n","C_0603",114.500000,-95.500000,90.000000,top
"C24","10n","C_0603",103.000000,-46.000000,-90.000000,top
"C25","10n","C_0603",103.000000,-42.675000,-90.000000,top
"C26","100n","C_0603",128.750000,-82.250000,180.000000,top
"C27","100n","C_0603",88.750000,-85.750000,90.000000,top
"C28","100n","C_0603",103.000000,-49.250000,-90.000000,top
"C29","2u2","C_0805",92.750000,-89.000000,180.000000,top
"C30","100n","C_0603",93.000000,-91.000000,180.000000,top
"C31","10n","C_0603",87.000000,-42.750000,-90.000000,top
"C32","100n","C_0603",94.500000,-95.750000,180.000000,top
"C33","10n","C_0603",87.000000,-46.000000,-90.000000,top
"C34","100n","C_0603",132.725000,-88.725000,180.000000,top
"C35","100n","C_0603",87.000000,-49.250000,-90.000000,top
"C36","100n","C_0603",77.475000,-70.000000,180.000000,top
"C37","100n","C_0603",91.250000,-48.000000,180.000000,top
"C38","100n","C_0603",98.255000,-39.505000,0.000000,top
"C39","100n","C_0603",60.500000,-60.250000,-90.000000,top
"C40","100n","C_0603",80.250000,-39.500000,0.000000,top
"C41","100n","C_0603",60.250000,-83.500000,-90.000000,top
"C42","100n","C_0603",114.250000,-39.500000,0.000000,top
"C43","100n","C_0603",65.750000,-96.500000,90.000000,top
"D1","LED_Red_0603","LED_0603",69.500000,-82.500000,-90.000000,top
"D2","LED_Green_0603","LED_0603",71.250000,-82.500000,-90.000000,top
"D3","LED_Green_0603","LED_0603",78.000000,-58.250000,180.000000,top
"D4","LED_Green_0603","LED_0603",78.000000,-60.250000,180.000000,top
"H1","MountingHole_Pad","MountingHole_3.2mm",136.000000,-96.000000,0.000000,top
"H2","MountingHole_Pad","MountingHole_3.2mm",54.000000,-34.000000,0.000000,top
"H3","MountingHole_Pad","MountingHole_3.2mm",136.000000,-34.000000,0.000000,top
"H4","MountingHole_Pad","MountingHole_3.2mm",54.000000,-96.000000,0.000000,top
"J1","JST_PH_2.0mm_1x02","JST_PH_2.0mm_1x02",137.430000,-73.250000,-90.000000,top
"J2","USB-C","USB_C",54.000000,-64.000000,-90.000000,top
"J3","Header_FFC_1.0mm_06","Header_FFC_1.0mm_06",95.000000,-33.000000,180.000000,top
"J4","Header_50mil_2x07","Header_50mil_2x07",55.780000,-80.250000,-90.000000,top
"J5","Header_FFC_1.0mm_10","Header_FFC_1.0mm_10",78.000000,-33.000000,180.000000,top
"J6","Header_FFC_1.0mm_10","Header_FFC_1.0mm_10",112.000000,-33.000000,180.000000,top
"J7","JST_PH_2.0mm_1x03","JST_PH_2.0mm_1x03",61.700000,-97.250000,90.000000,top
"Q1","DMG2305UX","SOT-23-3",135.480000,-68.550000,180.000000,top
"Q2","FS8205A","TSSOP-8",123.230000,-69.550000,180.000000,top
"Q3","DMG2305UX","SOT-23-3",112.200000,-66.250000,-90.000000,top
"Q4","AO3400A","SOT-23-3",77.800000,-90.400000,90.000000,top
"Q5","AO3400A","SOT-23-3",82.500000,-70.750000,180.000000,top
"R1","100k","R_0603",135.305000,-65.550000,180.000000,top
"R2","2k","R_0603",126.230000,-72.800000,180.000000,top
"R3","1k","R_0603",129.980000,-68.800000,-90.000000,top
"R4","2k","R_0603",69.250000,-97.675000,0.000000,top
"R5","33k","R_0603",77.100000,-94.675000,90.000000,top
"R6","1k","R_0603",69.500000,-85.750000,-90.000000,top
"R7","1k","R_0603",71.250000,-85.750000,-90.000000,top
"R8","100k","R_0603",86.250000,-73.250000,0.000000,top
"R9","68k","R_0603",86.250000,-71.750000,180.000000,top
"R10","1k","R_0603",81.250000,-58.250000,180.000000,top
"R11","1k","R_0603",81.250000,-60.250000,180.000000,top
"R12","68k","R_0603",104.750000,-46.000000,-90.000000,top
"R13","68k","R_0603",104.750000,-42.675000,-90.000000,top
"R14","33k","R_0603",106.500000,-42.675000,-90.000000,top
"R15","33k","R_0603",106.500000,-46.000000,-90.000000,top
"R16","33k","R_0603",106.500000,-49.250000,-90.000000,top
"R17","68k","R_0603",104.750000,-49.250000,90.000000,top
"R18","5k1","R_0603",127.750000,-77.990000,-90.000000,top
"R19","5k1","R_0603",126.000000,-78.740000,-90.000000,top
"R20","68k","R_0603",85.250000,-42.750000,-90.000000,top
"R21","68k","R_0603",85.250000,-46.000000,-90.000000,top
"R22","33k","R_0603",83.500000,-46.000000,-90.000000,top
"R23","33k","R_0603",83.500000,-42.750000,-90.000000,top
"R24","33k","R_0603",83.500000,-49.250000,-90.000000,top
"R25","68k","R_0603",85.250000,-49.250000,90.000000,top
"R26","1k","R_0603",80.975000,-66.250000,180.000000,top
"R27","5k1","R_0603",59.500000,-62.750000,0.000000,top
"R28","100k","R_0603",58.750000,-60.250000,-90.000000,top
"R29","5k1","R_0603",59.500000,-65.750000,0.000000,top
"R30","68k","R_0603",55.675000,-88.250000,0.000000,top
"R31","100k","R_0603",55.675000,-86.500000,180.000000,top
"R32","5k1","R_0603",76.750000,-43.000000,0.000000,top
"R33","5k1","R_0603",76.750000,-41.250000,0.000000,top
"R34","33k","R_0603",62.000000,-83.500000,90.000000,top
"R35","5k1","R_0603",115.000000,-45.750000,0.000000,top
"R36","5k1","R_0603",115.000000,-43.500000,0.000000,top
"R37","2k","R_0603",73.750000,-67.750000,-90.000000,top
"U1","DW01A","SOT-23-6",127.230000,-69.550000,0.000000,top
"U2","LP5907MFX-3.3/NOPB","SOT-23-5",117.500000,-70.250000,-90.000000,top
"U3","TP4056","ESOP-8",70.500000,-92.925000,0.000000,top
"U4","LP5907MFX-3.3/NOPB","SOT-23-5",132.000000,-52.750000,-90.000000,top
"U5","SD6210A","SOT-23-6",106.800000,-89.700000,0.000000,top
"U6","STM32G0B1RET6","LQFP-64",95.000000,-62.500000,180.000000,top
"U7","RN4871-I_RM128","RN4871",121.000000,-95.516250,180.000000,top
"U8","SN74AHCT244DBR","SSOP-20",95.000000,-83.500000,90.000000,top
"U9","24LC256-I_ST","TSSOP-8",132.750000,-80.000000,90.000000,top
"U10","BME280","LGA-8_2.5x2.5mm_P0.65mm",132.750000,-86.250000,90.000000,top
"U11","SN74HC14PWR","TSSOP-14",95.000000,-44.750000,90.000000,top
"U12","LM35DGS","SOT-23-3",77.000000,-67.250000,0.000000,top
"Y1","32.768kHz","CRYSTAL-3215",105.900000,-68.150000,-90.000000,top
"Y2","8MHz","CRYSTAL-3225",109.550000,-59.450000,-90.000000,top
